Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470875,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470900,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46470975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471000,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471050,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471075,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471100,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471125,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471150,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471175,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471200,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471225,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471250,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471275,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471300,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471325,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471350,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471375,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471400,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471425,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471450,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471475,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471500,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471525,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471550,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471575,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471600,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471625,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471650,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471675,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471700,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471725,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471750,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471775,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471800,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471825,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471850,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471875,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471900,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471925,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471950,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46471975,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472000,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472025,1
0.0,0.089204,4.0,0.04,0.0003,0.0001,0.0003,46472050,1
